ปี,เทอม,ระบบ,สถานที่จัดการเรียน,คณะ,สาขา,หลักสูตร,รหัสวิชา,ชื่อวิชา,ตอนเรียน,แผ่นที่,ระดับ,จำนวน
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571110-01,บริบทการจัดการเพื่ออุตสาหกรรมบริการ,B1,745,ปริญญาตรี,2
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การจัดการงานบริการ,ศิลปศาสตรบัณฑิต,3571117-01,การบัญชีและการเงินในอุตสาหกรรมบริการ,A1,746,ปริญญาตรี,2
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3571119-01,บุคลิกภาพเพื่อการบริการลูกค้า,A1,747,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3571119-01,บุคลิกภาพเพื่อการบริการลูกค้า,A1,748,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,วิทยาการจัดการ,การบริการลูกค้า,บริหารธุรกิจบัณฑิต,3571119-01,บุคลิกภาพเพื่อการบริการลูกค้า,A1,749,ปริญญาตรี,3
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571122-01,จิตวิทยาบริการในอุตสาหกรรมท่องเที่ยว,A1,750,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571122-01,จิตวิทยาบริการในอุตสาหกรรมท่องเที่ยว,A1,751,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571122-01,จิตวิทยาบริการในอุตสาหกรรมท่องเที่ยว,A1,752,ปริญญาตรี,11
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571123-01,ความรู้เบื้องต้นเกี่ยวกับอุตสาหกรรมท่องเที่ยว,A1,753,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571123-01,ความรู้เบื้องต้นเกี่ยวกับอุตสาหกรรมท่องเที่ยว,A1,754,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571123-01,ความรู้เบื้องต้นเกี่ยวกับอุตสาหกรรมท่องเที่ยว,A1,755,ปริญญาตรี,11
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การจัดการงานบริการ,ศิลปศาสตรบัณฑิต,3571124-01,การจัดการอุตสาหกรรมท่องเที่ยวและบริการ,A1,756,ปริญญาตรี,19
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การจัดการงานบริการ,ศิลปศาสตรบัณฑิต,3571126-01,การพัฒนาบุคลิกภาพเพื่อการจัดการอุตสาหกรรมบริการ,A1,757,ปริญญาตรี,19
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571202-01,การจัดการธุรกิจนำเที่ยว,A1,758,ปริญญาตรี,1
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571207-01,พฤติกรรมนักท่องเที่ยวและการสื่อสารข้ามวัฒนธรรม,A1,759,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571207-01,พฤติกรรมนักท่องเที่ยวและการสื่อสารข้ามวัฒนธรรม,A1,760,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การท่องเที่ยว,ศิลปศาสตรบัณฑิต,3571207-01,พฤติกรรมนักท่องเที่ยวและการสื่อสารข้ามวัฒนธรรม,A1,761,ปริญญาตรี,11
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571303-01,ความรู้เบื้องต้นในการบริหารโรงแรมและมาตรฐานโรงแรมไทย,A1,762,ปริญญาตรี,1
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571305-02,จรรยาบรรณวิชาชีพและกฎหมายที่เกี่ยวข้องกับธุรกิจโรงแรม,A1,763,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571305-02,จรรยาบรรณวิชาชีพและกฎหมายที่เกี่ยวข้องกับธุรกิจโรงแรม,A1,764,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571305-02,จรรยาบรรณวิชาชีพและกฎหมายที่เกี่ยวข้องกับธุรกิจโรงแรม,A1,765,ปริญญาตรี,11
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,มนุษยศาสตร์และสังคมศาสตร์,ภาษาและการสื่อสาร,ศิลปศาสตรบัณฑิต,3571329-01,ความรู้เบื้องต้นในการบริหารโรงแรมและมาตรฐานโรงแรม,A1,766,ปริญญาตรี,1
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571329-01,ความรู้เบื้องต้นในการบริหารโรงแรมและมาตรฐานโรงแรม,A1,766,ปริญญาตรี,21
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571329-01,ความรู้เบื้องต้นในการบริหารโรงแรมและมาตรฐานโรงแรม,A1,767,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการโรงแรม,ศิลปศาสตรบัณฑิต,3571329-01,ความรู้เบื้องต้นในการบริหารโรงแรมและมาตรฐานโรงแรม,A1,768,ปริญญาตรี,12
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571403-01,ความรู้เบื้องต้นในการจัดการธุรกิจการบิน,A1,769,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571403-01,ความรู้เบื้องต้นในการจัดการธุรกิจการบิน,B1,771,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571403-01,ความรู้เบื้องต้นในการจัดการธุรกิจการบิน,B1,772,ปริญญาตรี,2
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571404-01,เศรษฐศาสตร์เบื้องต้นเพื่อธุรกิจการบิน,A1,773,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571404-01,เศรษฐศาสตร์เบื้องต้นเพื่อธุรกิจการบิน,A1,774,ปริญญาตรี,4
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571404-01,เศรษฐศาสตร์เบื้องต้นเพื่อธุรกิจการบิน,B1,775,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571404-01,เศรษฐศาสตร์เบื้องต้นเพื่อธุรกิจการบิน,B1,776,ปริญญาตรี,1
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571411-01,การสื่อสารข้ามวัฒนธรรมและศิลปะการต้อนรับในธุรกิจการบิน,A1,777,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571411-01,การสื่อสารข้ามวัฒนธรรมและศิลปะการต้อนรับในธุรกิจการบิน,B1,779,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571411-01,การสื่อสารข้ามวัฒนธรรมและศิลปะการต้อนรับในธุรกิจการบิน,B1,780,ปริญญาตรี,1
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571413-01,การสื่อสารภาษาอังกฤษพื้นฐานสำหรับอุตสาหกรรมบริการ,A1,781,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571413-01,การสื่อสารภาษาอังกฤษพื้นฐานสำหรับอุตสาหกรรมบริการ,B1,783,ปริญญาตรี,22
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,ธุรกิจการบิน,ศิลปศาสตรบัณฑิต,3571413-01,การสื่อสารภาษาอังกฤษพื้นฐานสำหรับอุตสาหกรรมบริการ,B1,784,ปริญญาตรี,2
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,มนุษยศาสตร์และสังคมศาสตร์,ภาษาและการสื่อสาร,ศิลปศาสตรบัณฑิต,3571502-01,ภาษาจีนระดับต้น,A1,785,ปริญญาตรี,4
2562,1,AEC,มหาวิทยาลัยสวนดุสิต,โรงเรียนการท่องเที่ยวและการบริการ,การจัดการงานบริการ,ศิลปศาสตรบัณฑิต,3571601-01,เทคโนโลยีสารสนเทศเพื่อการจัดการอุตสาหกรรมบริการ,A1,786,ปริญญาตรี,19
